Crash ID,County,Crash Death Count,Driver Blood Alcohol Content Test Result,Unit Death Count,Vehicle Model Year,Person Age
16870603,DALLAS,0,No Data,0,2017,21
16870603,DALLAS,0,No Data,0,2017,19
16874313,WISE,0,No Data,0,2013,33
16932326,TARRANT,2,0.23,1,2017,28
16932326,TARRANT,2,0,1,2003,63
16984083,TARRANT,0,No Data,0,2009,32
16984083,TARRANT,0,No Data,0,2009,4
16984083,TARRANT,0,No Data,0,2013,28
16984083,TARRANT,0,No Data,0,2013,30
17118878,TARRANT,0,0.19,0,2016,36
16843042,HARRISON,0,No Data,0,2013,30
16844262,MIDLAND,0,No Data,0,2016,24
16844262,MIDLAND,0,No Data,0,2017,25
16845652,WILLIAMSON,0,0.155,0,2014,37
16845652,WILLIAMSON,0,No Data,0,2010,32
16846491,COMAL,0,0.241,0,2006,56
16846575,MEDINA,0,No Data,0,2011,22
16846575,MEDINA,0,No Data,0,2011,21
16846575,MEDINA,0,No Data,0,2009,26
16846575,MEDINA,0,No Data,0,2009,43
16846575,MEDINA,0,No Data,0,2009,31
16846575,MEDINA,0,No Data,0,2009,49
16846918,WILLIAMSON,0,No Data,0,2007,33
16846918,WILLIAMSON,0,No Data,0,2007,54
16846940,SAN JACINTO,0,0.179,0,2003,59
16847899,HARRIS,0,0,0,2010,24
16847899,HARRIS,0,No Data,0,2017,22
16848919,HARRIS,0,0.128,0,2011,33
16849205,GUADALUPE,0,No Data,0,2015,21
16850183,SMITH,0,0.192,0,2007,58
16850281,HARRIS,0,0,0,1994,60
16850281,HARRIS,0,No Data,0,2016,27
16850458,HIDALGO,0,No Data,0,2012,29
16850458,HIDALGO,0,0.241,0,2000,35
16850594,TARRANT,0,No Data,0,No Data,No Data
16851159,HIDALGO,0,0.208,0,2006,37
16851159,HIDALGO,0,No Data,0,2018,31
16853313,CAMERON,0,No Data,0,2007,40
16853313,CAMERON,0,No Data,0,2017,50
16856140,DENTON,0,0.16,0,2010,46
16857258,BEXAR,0,No Data,0,2017,26
16857258,BEXAR,0,0.227,0,2015,30
16858541,CAMERON,0,No Data,0,2005,28
16858541,CAMERON,0,No Data,0,2005,2
16858541,CAMERON,0,No Data,0,2005,4
16858631,BASTROP,0,0.183,0,2003,32
16865815,HARRIS,1,0.2,1,2000,28
16865815,HARRIS,1,0.2,1,2000,21
16865815,HARRIS,1,0.2,1,2000,21
16875612,HARRIS,0,0,0,2013,25
16875612,HARRIS,0,No Data,0,2008,41
16842993,DALLAS,0,0.13,0,2002,26
16843225,MONTGOMERY,0,0.167,0,2004,19
16843444,HARRIS,0,0.2,0,2002,32
16843444,HARRIS,0,0.2,0,2002,36
16843446,HARRIS,0,No Data,0,2017,40
16843446,HARRIS,0,No Data,0,2018,36
16843446,HARRIS,0,No Data,0,2015,32
16843455,TRAVIS,0,No Data,0,2012,26
16843531,BEXAR,0,No Data,0,No Data,No Data
16843588,HARRIS,0,0.11,0,2013,29
16843812,HARRIS,1,0.068,1,1999,28
16843812,HARRIS,1,No Data,0,2009,54
16843812,HARRIS,1,No Data,0,2009,12
16844036,EL PASO,0,No Data,0,2012,25
16844036,EL PASO,0,No Data,0,2008,25
16844036,EL PASO,0,No Data,0,2017,40
16844036,EL PASO,0,No Data,0,2017,40
16844369,HARRIS,0,No Data,0,2003,22
16844369,HARRIS,0,0,0,2001,55
16845319,SMITH,0,No Data,0,2013,27
16845319,SMITH,0,No Data,0,2013,27
16845319,SMITH,0,No Data,0,2016,70
16845319,SMITH,0,No Data,0,2016,57
16845744,HARRIS,0,No Data,0,2010,26
16845786,COLLIN,0,0.154,0,2007,27
16846510,COLLIN,0,No Data,0,2017,41
16846578,COMAL,0,No Data,0,2018,29
16846578,COMAL,0,No Data,0,2017,24
16846990,KAUFMAN,0,0.276,0,2001,26
16849084,HIDALGO,0,No Data,0,2011,28
16849791,HARRIS,0,0.17,0,2019,27
16849791,HARRIS,0,0.17,0,2019,24
16849791,HARRIS,0,0.17,0,2019,30
16850103,DAWSON,0,0.106,0,2003,20
16850103,DAWSON,0,No Data,0,2017,37
16850103,DAWSON,0,No Data,0,2017,15
16850103,DAWSON,0,No Data,0,2017,16
16850103,DAWSON,0,No Data,0,2017,17
16850168,TARRANT,0,No Data,0,2005,37
16850168,TARRANT,0,No Data,0,2005,40
16850168,TARRANT,0,No Data,0,2005,No Data
16850168,TARRANT,0,No Data,0,2005,22
16850602,TARRANT,0,No Data,0,No Data,No Data
16850602,TARRANT,0,No Data,0,2016,35
16850866,HIDALGO,0,0.095,0,2016,25
16851036,HARRIS,0,0.176,0,2009,43
16851118,TARRANT,0,0.25,0,1995,42
16851118,TARRANT,0,No Data,0,2001,32
16851118,TARRANT,0,No Data,0,2001,6
16851611,HARRIS,0,0.12,0,1997,28
16851611,HARRIS,0,No Data,0,2004,33
16852264,ELLIS,0,No Data,0,2014,26
16853307,HARRIS,0,0.186,0,2006,26
16853307,HARRIS,0,No Data,0,2007,62
16853307,HARRIS,0,No Data,0,2006,40
16853307,HARRIS,0,No Data,0,2017,33
16853350,HARRIS,0,No Data,0,2008,44
16854610,DALLAS,1,0.263,1,2018,24
16854610,DALLAS,1,0.263,1,2018,25
16854685,DALLAS,0,No Data,0,2006,45
16854685,DALLAS,0,No Data,0,No Data,60
16855194,HARRIS,0,No Data,0,2018,39
16856195,EL PASO,0,0.168,0,2010,24
16856195,EL PASO,0,No Data,0,2013,27
16858300,EL PASO,0,No Data,0,2003,37
16859374,WALLER,0,No Data,0,2016,29
16861076,HUDSPETH,0,No Data,0,2002,28
16864394,GALVESTON,0,No Data,0,1995,26
16864394,GALVESTON,0,No Data,0,1995,26
16867620,HARRIS,0,No Data,0,2000,45
16867620,HARRIS,0,No Data,0,2005,39
16867620,HARRIS,0,No Data,0,2005,23
16867620,HARRIS,0,No Data,0,2005,21
16870837,TARRANT,0,0.27,0,2009,32
17045851,RANDALL,0,No Data,0,2015,19
17045851,RANDALL,0,No Data,0,2015,24
