Crash ID,Crash Time,Day of Week
16843402,204,FRIDAY
16843543,229,FRIDAY
16843545,225,FRIDAY
16843685,2340,FRIDAY
16843735,1757,FRIDAY
16843736,1909,FRIDAY
16844030,1800,FRIDAY
16844297,1612,FRIDAY
16844310,2205,FRIDAY
16844365,7,FRIDAY
16844375,2354,FRIDAY
16844376,1855,FRIDAY
16844393,2324,FRIDAY
16844447,2250,FRIDAY
16844639,1810,FRIDAY
16844971,1947,FRIDAY
16845212,2059,FRIDAY
16845316,2303,FRIDAY
16845333,2115,FRIDAY
16845337,407,FRIDAY
16845349,1925,FRIDAY
16845477,229,FRIDAY
16845794,1701,FRIDAY
16846112,1015,FRIDAY
16846534,2021,FRIDAY
16846559,2207,FRIDAY
16846601,2300,FRIDAY
16846863,1354,FRIDAY
16847781,2310,FRIDAY
16847798,259,FRIDAY
16847993,1830,FRIDAY
16848213,1719,FRIDAY
16848995,543,FRIDAY
16849132,30,FRIDAY
16849237,1611,FRIDAY
16849335,28,FRIDAY
16849347,515,FRIDAY
16849557,1955,FRIDAY
16849906,2026,FRIDAY
16850346,137,FRIDAY
16850769,58,FRIDAY
16851078,15,FRIDAY
16851092,2326,FRIDAY
16851567,2020,FRIDAY
16852222,1754,FRIDAY
16852276,350,FRIDAY
16852373,40,FRIDAY
16853008,2048,FRIDAY
16853598,321,FRIDAY
16853635,840,FRIDAY
16854120,2103,FRIDAY
16854150,1536,FRIDAY
16854515,2150,FRIDAY
16855221,2332,FRIDAY
16856121,2040,FRIDAY
16857000,2238,FRIDAY
16858344,2240,FRIDAY
16860079,40,FRIDAY
16860492,2159,FRIDAY
16860641,2030,FRIDAY
16860884,1745,FRIDAY
16863177,1601,FRIDAY
16863237,237,FRIDAY
16864842,501,FRIDAY
16869154,105,FRIDAY
16874019,116,FRIDAY
16986399,44,FRIDAY
17462905,2230,FRIDAY
17527778,2240,FRIDAY
16843684,254,SATURDAY
16843734,101,SATURDAY
16843938,114,SATURDAY
16844210,434,SATURDAY
16844218,52,SATURDAY
16844388,230,SATURDAY
16844390,1715,SATURDAY
16844403,44,SATURDAY
16844409,1720,SATURDAY
16844420,350,SATURDAY
16844474,212,SATURDAY
16844488,235,SATURDAY
16844514,440,SATURDAY
16844522,345,SATURDAY
16844531,212,SATURDAY
16844683,211,SATURDAY
16844851,1725,SATURDAY
16844972,1735,SATURDAY
16845102,2321,SATURDAY
16845105,2114,SATURDAY
16845406,353,SATURDAY
16845408,2315,SATURDAY
16845504,403,SATURDAY
16845648,517,SATURDAY
16845661,500,SATURDAY
16845841,206,SATURDAY
16845863,1345,SATURDAY
16845866,206,SATURDAY
16845937,136,SATURDAY
16845967,349,SATURDAY
16845969,325,SATURDAY
16845972,2257,SATURDAY
16845994,2249,SATURDAY
16846005,1829,SATURDAY
16846610,1,SATURDAY
16846624,244,SATURDAY
16846778,300,SATURDAY
16846848,1930,SATURDAY
16846853,2005,SATURDAY
16846975,1850,SATURDAY
16847485,220,SATURDAY
16847571,2100,SATURDAY
16847602,120,SATURDAY
16847688,148,SATURDAY
16847711,2025,SATURDAY
16847838,200,SATURDAY
16848295,145,SATURDAY
16848298,535,SATURDAY
16848312,1657,SATURDAY
16848545,300,SATURDAY
16848988,2340,SATURDAY
16849171,2316,SATURDAY
16849351,2025,SATURDAY
16849659,21,SATURDAY
16849700,210,SATURDAY
16849910,1300,SATURDAY
16850213,59,SATURDAY
16850510,357,SATURDAY
16850690,220,SATURDAY
16850739,2159,SATURDAY
16851040,1756,SATURDAY
16851045,1153,SATURDAY
16851225,309,SATURDAY
16851625,2245,SATURDAY
16851692,233,SATURDAY
16851926,2025,SATURDAY
16852244,2355,SATURDAY
16852332,1810,SATURDAY
16852414,745,SATURDAY
16852418,1020,SATURDAY
16852427,1942,SATURDAY
16852499,2250,SATURDAY
16852617,1701,SATURDAY
16852705,630,SATURDAY
16853101,1529,SATURDAY
16853241,230,SATURDAY
16853439,200,SATURDAY
16853524,200,SATURDAY
16853846,429,SATURDAY
16854531,513,SATURDAY
16855186,1911,SATURDAY
16855437,849,SATURDAY
16855438,135,SATURDAY
16855741,2223,SATURDAY
16855883,2321,SATURDAY
16856342,300,SATURDAY
16856554,226,SATURDAY
16856912,1736,SATURDAY
16857095,1514,SATURDAY
16857713,1,SATURDAY
16858113,2200,SATURDAY
16858214,1000,SATURDAY
16858250,205,SATURDAY
16858293,2225,SATURDAY
16858618,2308,SATURDAY
16858869,2349,SATURDAY
16858923,424,SATURDAY
16859198,2050,SATURDAY
16859261,1824,SATURDAY
16859463,208,SATURDAY
16859999,2340,SATURDAY
16860181,46,SATURDAY
16861400,2350,SATURDAY
16862277,2103,SATURDAY
16862670,1012,SATURDAY
16862977,2252,SATURDAY
16863188,2035,SATURDAY
16863382,1439,SATURDAY
16863803,1943,SATURDAY
16864370,13,SATURDAY
16864526,2258,SATURDAY
16866456,210,SATURDAY
16866752,2225,SATURDAY
16866987,205,SATURDAY
16867399,1656,SATURDAY
16867914,353,SATURDAY
16868389,307,SATURDAY
16869031,1330,SATURDAY
16870845,1831,SATURDAY
16872251,120,SATURDAY
16874491,227,SATURDAY
16874831,2245,SATURDAY
16876017,447,SATURDAY
16879962,315,SATURDAY
16880962,115,SATURDAY
16935517,412,SATURDAY
16986435,2200,SATURDAY
17697560,1749,SATURDAY
16844554,11,SUNDAY
16844849,650,SUNDAY
16844866,509,SUNDAY
16845380,240,SUNDAY
16845412,205,SUNDAY
16845432,2125,SUNDAY
16845442,137,SUNDAY
16845454,152,SUNDAY
16845485,213,SUNDAY
16845512,238,SUNDAY
16845523,1838,SUNDAY
16845581,1002,SUNDAY
16845643,2,SUNDAY
16845662,416,SUNDAY
16845830,53,SUNDAY
16845979,52,SUNDAY
16845993,1734,SUNDAY
16846052,155,SUNDAY
16846531,738,SUNDAY
16846689,249,SUNDAY
16847065,1705,SUNDAY
16847120,2045,SUNDAY
16847156,1527,SUNDAY
16847314,1812,SUNDAY
16847362,2010,SUNDAY
16847707,230,SUNDAY
16847788,326,SUNDAY
16847817,6,SUNDAY
16848027,110,SUNDAY
16848145,648,SUNDAY
16848176,302,SUNDAY
16848357,348,SUNDAY
16848510,15,SUNDAY
16848512,224,SUNDAY
16848561,756,SUNDAY
16848566,2207,SUNDAY
16849479,200,SUNDAY
16849510,225,SUNDAY
16849549,214,SUNDAY
16849553,347,SUNDAY
16849565,310,SUNDAY
16849690,2213,SUNDAY
16849696,227,SUNDAY
16850180,244,SUNDAY
16850308,2240,SUNDAY
16850327,1039,SUNDAY
16850596,200,SUNDAY
16850717,909,SUNDAY
16851190,243,SUNDAY
16851278,600,SUNDAY
16851450,1709,SUNDAY
16851465,14,SUNDAY
16851577,2340,SUNDAY
16851602,122,SUNDAY
16851645,21,SUNDAY
16851745,226,SUNDAY
16851788,337,SUNDAY
16851914,48,SUNDAY
16852330,48,SUNDAY
16852447,657,SUNDAY
16852637,515,SUNDAY
16852779,239,SUNDAY
16852923,11,SUNDAY
16853053,2252,SUNDAY
16853163,436,SUNDAY
16853414,1950,SUNDAY
16853453,220,SUNDAY
16853496,2348,SUNDAY
16853604,26,SUNDAY
16854408,317,SUNDAY
16854553,412,SUNDAY
16854734,130,SUNDAY
16854774,234,SUNDAY
16854791,1715,SUNDAY
16855253,2207,SUNDAY
16855261,2239,SUNDAY
16855335,220,SUNDAY
16855436,205,SUNDAY
16855479,446,SUNDAY
16856137,335,SUNDAY
16856259,239,SUNDAY
16856941,206,SUNDAY
16857500,32,SUNDAY
16857589,204,SUNDAY
16857717,2344,SUNDAY
16857834,1811,SUNDAY
16858191,601,SUNDAY
16858299,221,SUNDAY
16858304,218,SUNDAY
16858582,2016,SUNDAY
16859011,209,SUNDAY
16859033,2130,SUNDAY
16859524,158,SUNDAY
16860693,27,SUNDAY
16862253,1835,SUNDAY
16862372,2129,SUNDAY
16862467,12,SUNDAY
16863111,1955,SUNDAY
16863711,250,SUNDAY
16864530,204,SUNDAY
16864593,434,SUNDAY
16864850,2230,SUNDAY
16865329,305,SUNDAY
16865332,2230,SUNDAY
16865436,2330,SUNDAY
16865492,102,SUNDAY
16865877,1410,SUNDAY
16865948,1848,SUNDAY
